
Cycle 1
Physical Cycle 1
Step 1

Time (s),          Potential (V),         Current (A)
7.199744224548     -5.432036876678     -0.009999754839     


Cycle 1
Physical Cycle 1
Step 2

Time (s),          Potential (V),         Current (A)
1281.554443359375     3.000149965286     0.000249835226     
1288.754150390625     3.000149965286     0.000249141594     
1295.953979492188     3.000149965286     0.000248574099     
1303.153686523438     3.000149965286     0.000247985590     
1310.353393554688     3.000149965286     0.000247365562     
1317.553100585938     3.000149965286     0.000246808573     
1324.752929687500     3.000149965286     0.000246209529     
1331.952636718750     3.000149965286     0.000245631527     
1339.152343750000     3.000149965286     0.000245074538     
1346.352172851563     3.000149965286     0.000244401948     
1353.551879882813     3.000149965286     0.000243887000     
1360.751586914063     3.000149965286     0.000243266957     
1367.951416015625     3.000149965286     0.000242804555     
1375.151123046875     3.000149965286     0.000242216047     
1382.350830078125     3.000149965286     0.000241659058     
1389.550537109375     3.000149965286     0.000241102069     
1396.750366210938     3.000149965286     0.000240482026     
1403.950073242188     3.000149965286     0.000239935544     
1411.149780273438     3.000149965286     0.000239494155     
1418.349609375000     3.000149965286     0.000238968700     
1425.549316406250     3.000149965286     0.000238348657     
1432.749023437500     3.000149965286     0.000237791668     
1439.948852539063     3.000149965286     0.000237234679     
1447.148559570313     3.000149965286     0.000236698717     
1454.348266601563     3.000149965286     0.000236225795     
1461.547973632813     3.000149965286     0.000235668806     
1468.747802734375     3.000149965286     0.000235111816     
1475.947509765625     3.000149965286     0.000234596868     
1483.147216796875     3.000149965286     0.000234050400     
1490.347045898438     3.000149965286     0.000233503917     
1497.546752929688     3.000149965286     0.000233020488     
1504.746459960938     3.000149965286     0.000232452992     
1511.946289062500     3.000149965286     0.000231980084     
1519.145996093750     3.000149965286     0.000231423095     
1526.345703125000     3.000149965286     0.000230992213     
1533.545532226563     3.000149965286     0.000230403704     
1540.745239257813     3.000149965286     0.000229846715     
1547.944946289063     3.000149965286     0.000229331767     
1555.144653320313     3.000149965286     0.000228816818     
1562.344482421875     3.000149965286     0.000228291348     
1569.544189453125     3.000149965286     0.000227807934     
1576.743896484375     3.000149965286     0.000227366545     
1583.943725585938     3.000149965286     0.000226757009     
1591.143432617188     3.000149965286     0.000226284101     
1598.343139648438     3.000149965286     0.000225832206     
1605.542968750000     3.000149965286     0.000225348776     
1612.742675781250     3.000149965286     0.000224875868     
1619.942382812500     3.000149965286     0.000224381933     
1627.142089843750     3.000149965286     0.000223856463     
1634.341918945313     3.000149965286     0.000223362542     
1641.541625976563     3.000160932541     0.000222889619     
1648.741333007813     3.000160932541     0.000222427218     
1655.941162109375     3.000160932541     0.000221985829     
1663.140869140625     3.000160932541     0.000221502414     
1670.340576171875     3.000160932541     0.000221071532     
1677.540405273438     3.000160932541     0.000220598624     
1684.740112304688     3.000160932541     0.000220146729     
1691.939819335938     3.000149965286     0.000219726353     
1699.139526367188     3.000149965286     0.000219316498     
1706.339355468750     3.000149965286     0.000218885616     
1713.539062500000     3.000149965286     0.000218381174     
1720.738769531250     3.000149965286     0.000217929279     
1727.938598632813     3.000149965286     0.000217456371     
1735.138305664063     3.000149965286     0.000217035995     
1742.338012695313     3.000149965286     0.000216573593     
1749.537841796875     3.000149965286     0.000216163739     
1756.737548828125     3.000149965286     0.000215711843     
1763.937255859375     3.000149965286     0.000215301974     
1771.137084960938     3.000149965286     0.000214850079     
1778.336791992188     3.000149965286     0.000214419211     
1785.536499023438     3.000149965286     0.000214030370     
1792.736206054688     3.000160932541     0.000213588981     
1799.936035156250     3.000149965286     0.000213074032     
1807.135742187500     3.000160932541     0.000212664178     
1814.335449218750     3.000160932541     0.000212254308     
1821.535278320313     3.000160932541     0.000211812920     
1828.734985351563     3.000160932541     0.000211308477     
1835.934692382813     3.000160932541     0.000210940663     
1843.134521484375     3.000160932541     0.000210593862     
1850.334228515625     3.000160932541     0.000210099926     
1857.533935546875     3.000160932541     0.000209700578     
1864.733642578125     3.000160932541     0.000209259189     
1871.933471679688     3.000160932541     0.000208828307     
1879.133178710938     3.000160932541     0.000208513040     
1886.332885742188     3.000160932541     0.000208008598     
1893.532714843750     3.000160932541     0.000207619756     
1900.732421875000     3.000160932541     0.000207220408     
1907.932128906250     3.000160932541     0.000206852579     
1915.131958007813     3.000160932541     0.000206516284     
1922.331665039063     3.000160932541     0.000206074896     
